,ethereum_address,ether_balance,unique_tokens,unique_transfers
238,0x63eca152130eccaaf60512875d55fa429285f67b,1998.0,40,2
239,0xf6c34c27d07b293113a6b2b35851546bc3b00445,1029.4390728709125,55,6
240,0x3dd309ba127d104e1bdf8d6b4d361d95be829f21,1009.9800000077778,38,2
241,0x6b744ed2b80fcb4dc14884a80fc40a3455a14cbc,1256.4566285150997,47,2
242,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038.0671967539,121,3
243,0xffe0fc2ea6ff411f48921618ed6625cce5f4c154,1772.158576278,43,2
244,0x42673b70bfe2e992c61dac235a6b5275b471c4ae,1600.1892712358278,31,2
245,0x1cdde20fd300c95427819be44a4fdc8c537361f1,3959.9985383957996,15,2
246,0x94c1a8f63f32de8f577b1846d1cb89e96fd2b5c0,1256.4637982444551,98,22
247,0x5dfc580d023470f078e97eb663f0b62ee814a76f,1105.099559,24,2
248,0xdc3000447d6bb56be9be2070297544207d56155b,2914.2391546,30,2
249,0xa7b790bcea75a61e3b64902e7816f912c573a55d,3986.207721482713,16,1
250,0x6e47dc186093eeb1710ba5fca645cfb2347b54b9,1675.6590011600001,25,37
251,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,131283.02866199365,90,7820
252,0xce1bacceed3f01942e4438d2595460f6b75414c8,5413.998971,52,2
253,0xff93f53be41d4f3412898120fa7c6a5b765199c9,2580.0797540040003,51,2
254,0x9b76815522a6d03d06769f3f79239ec8c9356d36,4392.6180685,13,1
255,0x12053e14b19e17ff0b5036e6328730bdb78cf57a,1417.7166016272158,38,2
256,0x99a584cacb854d4f707ad53fa61e532e1235d756,3226.127362438,12,2
257,0xf9c47c1f1a3b3a3d85ea94a9ac3ef1f72dbfb03c,1240.621153,10,1
258,0x35ff9031a7edc9cc78e8bd6f027e8e41c5be73d0,9397.06049172201,58,4
259,0x074fddd3ec0e28a2589fcef3662c7ff65fda9f31,1000.1,10,1
